eventNumber clusterCharge clusterPE clusterMaxPE clusterChargeBalance clusterHits clusterTime
626 0.0690748 59.9393 15.8029 0.288424 35 10.4
628 0.189479 156.51 23.0421 0.199915 60 10.4333
630 0.11526 100.766 9.61066 0.178123 56 12.75
633 0.387866 317.024 96.1771 0.314187 96 13.0625
634 0.327785 274.769 14.4268 0.101507 116 11.8966
635 0.308081 259.325 34.9012 0.178186 83 10.7711
636 0.0941979 80.3666 7.15965 0.157556 52 12.1538
637 0.284518 250.022 16.6577 0.135952 97 11.1134
641 0.0990793 83.8866 20.2397 0.269929 44 12
642 0.222608 186.897 13.4678 0.147047 82 12.2195
643 0.0931271 78.8566 13.526 0.251577 39 10.2564
644 0.0670905 55.6132 10.1442 0.256142 38 11
645 0.0208054 17.3964 2.31444 0.267897 14 9.85714
646 0.0304115 23.3695 3.75042 0.266137 18 8.88889
647 0.0915773 77.6444 7.69066 0.191845 46 10.1739
648 0.211434 206.409 37.4404 0.2267 80 11.45
652 0.116065 98.523 17.4693 0.216689 48 9.79167
653 0.280017 242.79 51.5078 0.232174 85 12.0235
654 0.256102 208.303 33.9063 0.246795 63 9.65079
655 0.284561 228.239 29.8839 0.197077 78 12.7692
656 0.01221 10.9493 2.49395 0.355855 10 11.6
657 0.29098 239.868 23.9249 0.161204 82 10.878
658 0.120044 102.712 19.3926 0.230291 49 11.7959
659 0.209466 174.398 11.0174 0.145419 82 12.9512
660 0.03627 28.7595 5.28187 0.259398 23 10.6087
661 0.0431854 38.2367 3.58983 0.209337 30 11.6
664 0.161672 144.784 13.7011 0.17657 69 11.3913
665 0.217831 183.066 14.0339 0.168517 73 11.3699
666 0.0258218 20.8826 3.28272 0.273402 18 13.7778
