eventNumber clusterCharge clusterPE clusterMaxPE clusterChargeBalance clusterHits
601 0.0839613 69.5177 6.43812 0.180568 44
602 0.138959 117.941 11.116 0.164859 58
604 0.0720091 59.0401 11.2437 0.264419 33
605 0.00724074 5.95417 1.53264 0.446083 5
606 0.0217273 17.8491 3.49796 0.346556 10
607 0.14494 118.446 13.2002 0.207782 50
608 0.109426 93.2233 11.2289 0.196021 49
609 0.0410886 36.6126 13.0615 0.389513 20
611 0.0879639 71.267 11.8587 0.248865 30
612 0.0185506 15.4493 5.69262 0.420331 10
613 0.00807397 6.67185 2.60385 0.520455 5
615 0.0682297 58.4663 24.9884 0.544764 14
616 0.127799 107.193 7.25302 0.129522 60
617 0.104751 87.2795 10.7498 0.198348 47
618 0.178698 148.626 9.62723 0.139036 76
620 0.0349777 29.4655 4.04976 0.225782 23
621 0.140737 120.255 6.60848 0.137724 63
622 0.0191638 15.596 4.24046 0.348385 12
623 0.0969683 81.5848 10.5467 0.188652 50
624 0.085523 71.2094 7.41079 0.19423 39
625 0.190313 157.999 7.66606 0.128441 66
626 0.123296 104.218 12.273 0.196238 59
627 0.0869877 76.7493 6.7274 0.169724 43
629 0.0272349 22.2115 3.42345 0.265288 19
630 0.0354935 31.0233 4.20932 0.252526 19
632 0.0450798 36.6853 3.5016 0.197811 27
633 0.132007 110.84 7.87743 0.139167 62
634 0.0253537 23.1722 6.0289 0.314117 18
635 0.0248581 20.8713 2.71754 0.245287 18
636 0.0726481 58.0642 22.046 0.393455 30
637 0.10709 93.8858 28.4116 0.32836 44
638 0.0158623 13.2681 2.11979 0.281707 15
639 0.057413 47.6953 13.3377 0.324124 24
640 0.12337 102.329 6.43871 0.134625 64
641 0.163315 136.321 21.0586 0.248441 36
642 0.133904 111.368 17.6718 0.230788 48
643 0.0910333 74.0505 10.7538 0.206585 42
646 0.178525 149.754 38.9848 0.279896 60
647 0.112628 93.9747 5.72761 0.121371 63
648 0.0163006 14.068 2.84319 0.322573 11
649 0.0147129 12.0481 2.26144 0.307644 12
650 0.140147 115.619 8.22856 0.146965 68
651 0.122129 99.9886 7.47874 0.13644 65
653 0.16712 138.756 9.66501 0.154259 59
655 0.046681 39.1706 3.39118 0.199726 29
656 0.105959 87.4945 9.03298 0.166356 53
657 0.169386 141.325 11.4139 0.149791 69
658 0.164274 140.84 19.0821 0.200351 59
661 0.119878 98.293 10.5464 0.204026 40
662 0.106227 88.0892 8.12931 0.162934 54
663 0.0742829 63.8611 5.67476 0.18814 38
664 0.171 138.704 18.3861 0.246255 34
665 0.0162703 15.2926 5.17747 0.406901 10
666 0.0320754 28.3697 4.1999 0.214513 27
668 0.0779203 65.5091 15.3255 0.272617 34
669 0.171978 142.837 20.3869 0.184396 65
671 0.0908155 71.2655 15.4646 0.302284 26
673 0.0284619 23.8631 9.75045 0.433735 15
675 0.0519215 44.6112 4.64964 0.204496 31
